"subject","Label","object","Source","Target"
"Republicans","keep cutting dramatically","Democrats",468,467
"EPA","has","Pruitt",371,46
"Trump","tells","Powell",465,116
"Trump","tells","Powell",439,116
"Trump","tells","Powell",14,116
"Eikon","Reporting By","Michael Shields",113,114
"Musk","begin launching private missions to","Mars",60,4
"Democrats","are far","Republicans",467,468
"Schumer","said","Democrats",41,467
"Trump","moved to formally","the Paris Agreement",465,476
"Trump","moved to formally","the Paris Agreement",439,476
"Trump","moved to formally","the Paris Agreement",14,476
"Trump","moved to formally","the Paris Agreement",465,394
"Trump","moved to formally","the Paris Agreement",439,394
"Trump","moved to formally","the Paris Agreement",14,394
"LNG","be the safer bet in","Asia",412,2
"Trump","hasn't","the Paris Agreement",465,476
"Trump","hasn't","the Paris Agreement",439,476
"Trump","hasn't","the Paris Agreement",14,476
"Trump","hasn't","the Paris Agreement",465,394
"Trump","hasn't","the Paris Agreement",439,394
"Trump","hasn't","the Paris Agreement",14,394
"Katya Golubkova","Writing by","Andrey Ostroukh",88,117
"BP","slammed","Greenpeace",444,350
"Democrats","remain skeptical of","Republicans",467,468
"Trump","exit","the Paris Agreement",465,476
"Trump","exit","the Paris Agreement",439,476
"Trump","exit","the Paris Agreement",14,476
"Trump","exit","the Paris Agreement",465,394
"Trump","exit","the Paris Agreement",439,394
"Trump","exit","the Paris Agreement",14,394
"Democrats","asked","Wheeler",467,101
"Trump","said on","Twitter",465,460
"Trump","said on","Twitter",439,460
"Trump","said on","Twitter",14,460
"Trump","said on","Twitter",465,17
"Trump","said on","Twitter",439,17
"Trump","said on","Twitter",14,17
"Democrats","take back","Congress",467,377
"Asia","eating away at","OPEC",2,364
"Bloomberg","reported","PG&E",62,390
"the Paris Agreement","do at","the United Nations",476,380
"the Paris Agreement","do at","the United Nations",394,380
"Paul Sandle","editing by","David Evans",106,105
"Trump","tear up","the Paris Agreement",465,476
"Trump","tear up","the Paris Agreement",439,476
"Trump","tear up","the Paris Agreement",14,476
"Trump","tear up","the Paris Agreement",465,394
"Trump","tear up","the Paris Agreement",439,394
"Trump","tear up","the Paris Agreement",14,394
"The Wall Street Journal","reported","Apple",399,403
"Nature","showed","Antarctica",464,8
"Silicon Valley","startup","Reuters",11,355
"Democrats","want","the White House",467,354
"Silicon Valley","told","Reuters",11,355
"Trump","intends to","the Paris Agreement",465,476
"Trump","intends to","the Paris Agreement",439,476
"Trump","intends to","the Paris Agreement",14,476
"Trump","intends to","the Paris Agreement",465,394
"Trump","intends to","the Paris Agreement",439,394
"Trump","intends to","the Paris Agreement",14,394
"NASA","says","Mars",356,4
"Trump","pull out","the Paris Agreement",465,476
"Trump","pull out","the Paris Agreement",439,476
"Trump","pull out","the Paris Agreement",14,476
"Trump","pull out","the Paris Agreement",465,394
"Trump","pull out","the Paris Agreement",439,394
"Trump","pull out","the Paris Agreement",14,394
"Democrats","have accused","Scott",467,276
"Michael","is forecast to","the East Coast",82,9
"Michael","move up","the East Coast",82,9
"Musk","venting his frustration out loud on","Twitter",60,460
"Musk","venting his frustration out loud on","Twitter",60,17
"Republicans","nominated","Trump",468,465
"Republicans","nominated","Trump",468,439
"Republicans","nominated","Trump",468,14
"Silicon Valley","react to","Trump",11,465
"Silicon Valley","react to","Trump",11,439
"Silicon Valley","react to","Trump",11,14
"ExxonMobil","called","the Paris Agreement",419,476
"ExxonMobil","called","the Paris Agreement",419,394
"Democrats","outnumber","Republicans",467,468
"Trump","said","Europe",465,1
"Trump","said","Europe",439,1
"Trump","said","Europe",14,1
"The White House","was contemplating","Congress",386,377
"Trump","said of","Europe",465,1
"Trump","said of","Europe",439,1
"Trump","said of","Europe",14,1
"The White House","bypassing","Congress",386,377
"Harvey","could cost more than","Katrina",417,475
"Harvey","could cost more than","Katrina",315,475
"Maria Kiselyova","writing by","Tom Balmforth",91,27
"Democrats","blasted","Trump",467,465
"Democrats","blasted","Trump",467,439
"Democrats","blasted","Trump",467,14
"Hurricane Katrina","thinks","the White House",472,354
"The White House","leave it up","Congress",386,377
"the East Coast","travel to","Europe",9,1
"Hurricane Irma","cost insurers as much as","Hurricane Katrina",471,472
"David Shepardson","editing by","Grant McCool",44,43
"Republicans","control","Congress",468,377
"Trump","has","the Environmental Protection Agency",465,407
"Trump","has","the Environmental Protection Agency",439,407
"Trump","has","the Environmental Protection Agency",14,407
"Congress","controlled by","Republicans",377,468
"Trump","ordered","the Environmental Protection Agency",465,407
"Trump","ordered","the Environmental Protection Agency",439,407
"Trump","ordered","the Environmental Protection Agency",14,407
"the National Hurricane Center","reveals","Hurricane Harvey",446,470
"the National Hurricane Center","reveals","Hurricane Harvey",446,416
"the National Hurricane Center","reveals","Hurricane Harvey",446,332
"Republicans","opposed every serious climate policy to","Congress",468,377
"Goldman Sachs","trimmed its price target on","Apple",372,403
"Europe","adopting overly","Europe",1,1
"Democrats","adopted as","Obama",467,337
"Mars","look too different from","Earth",4,3
"Democrats","coming","Trump",467,465
"Democrats","coming","Trump",467,439
"Democrats","coming","Trump",467,14
"Cohen","said","Tesla",70,376
"Cohen","said","Tesla",70,351
"Motherboard","has reached out","NASA",47,356
"Mars","did not","Earth",4,3
"Democrats","control","the White House",467,354
"Congress","flipped to","Republicans",377,468
"David Stanway","editing by","Richard Pullin",84,39
"Exxon","said","Hurricane Harvey",359,470
"Exxon","said","Hurricane Harvey",359,416
"Exxon","said","Hurricane Harvey",359,332
"Democrats","has embraced","Trump",467,465
"Democrats","has embraced","Trump",467,439
"Democrats","has embraced","Trump",467,14
"Sanders","is currently well behind","Clinton",408,37
"Donald Trump","withdrew from","the Paris Agreement",40,476
"Donald Trump","withdrew from","the Paris Agreement",40,394
"Hurricane Irma","hit","Maria",471,169
"Smith","makes that very same pilgrimage from","the East Coast",329,9
"Republicans","have tried to","Trump",468,465
"Republicans","have tried to","Trump",468,439
"Republicans","have tried to","Trump",468,14
"Republicans","convince","Trump",468,465
"Republicans","convince","Trump",468,439
"Republicans","convince","Trump",468,14
"Congress","can act","Republicans",377,468
"Trump","arrived in","Northern California",465,12
"Trump","arrived in","Northern California",439,12
"Trump","arrived in","Northern California",14,12
"the Supreme Court","suggesting","Republicans",370,468
"Inslee","told","Reuters",74,355
"the National Hurricane Center","issued for","Hurricane Florence",446,469
"Congress","is at","Republicans",377,468
"the National Hurricane Center","calls","Hurricane Florence",446,469
"Democrats","favor human missions to","Mars",467,4
"Democrats","recapture","Congress",467,377
"Stephen Jewkes","editing by","David Evans",130,105
"Musk","proclaimed","Tesla",60,376
"Musk","proclaimed","Tesla",60,351
"Dmitry Zhdannikov","writing by","Tom Balmforth",109,27
"Republicans","shielding","Trump",468,465
"Republicans","shielding","Trump",468,439
"Republicans","shielding","Trump",468,14
"Macron","agreed","the Paris Agreement",103,476
"Macron","agreed","the Paris Agreement",103,394
"Democrats","asked","the Justice Department",467,393
"Democrats","support","Clinton",467,37
"Greenpeace","told","Reuters",350,355
"Donald Trump","has turned a lot of","Republicans",40,468
"Trump","endorsed","Trump",465,465
"Trump","endorsed","Trump",439,465
"Trump","endorsed","Trump",14,465
"Trump","endorsed","Trump",465,439
"Trump","endorsed","Trump",439,439
"Trump","endorsed","Trump",14,439
"Trump","endorsed","Trump",465,14
"Trump","endorsed","Trump",439,14
"Trump","endorsed","Trump",14,14
"Mars","have studio space on","Mars",4,4
"Republicans","didn’t","Democrats",468,467
"Republicans","want to","Democrats",468,467
"NASA","put a man on","Mars",356,4
"Hurricane Maria","triggered concerns among","Democrats",473,467
"Republicans","compromise with","Democrats",468,467
"Trump","believes","Kim",465,121
"Trump","believes","Kim",439,121
"Trump","believes","Kim",14,121
"Trump","gave","Tillerson",465,323
"Trump","gave","Tillerson",439,323
"Trump","gave","Tillerson",14,323
"Democrats","support climate policies more than","Republicans",467,468
"Mars","delaying","Mars",4,4
"The New York Times","said","Trump",374,465
"The New York Times","said","Trump",374,439
"The New York Times","said","Trump",374,14
"Democrats","say","Republicans",467,468
"Republicans","have said","Democrats",468,467
"Asia","creating a huge food trend all over","Europe",2,1
"Paul Sandle","editing by","Stephen Addison",106,20
"Republicans","control both houses of","Congress",468,377
"Trump","re-engaging in","the Paris Agreement",465,476
"Trump","re-engaging in","the Paris Agreement",439,476
"Trump","re-engaging in","the Paris Agreement",14,476
"Trump","re-engaging in","the Paris Agreement",465,394
"Trump","re-engaging in","the Paris Agreement",439,394
"Trump","re-engaging in","the Paris Agreement",14,394
"Trump","plant the American flag on","Mars",465,4
"Trump","plant the American flag on","Mars",439,4
"Trump","plant the American flag on","Mars",14,4
"Trump","is","the Paris Agreement",465,476
"Trump","is","the Paris Agreement",439,476
"Trump","is","the Paris Agreement",14,476
"Trump","is","the Paris Agreement",465,394
"Trump","is","the Paris Agreement",439,394
"Trump","is","the Paris Agreement",14,394
"the Washington Post","revealed","Trump",366,465
"the Washington Post","revealed","Trump",366,439
"the Washington Post","revealed","Trump",366,14
"Republicans","compared to","Democrats",468,467
"Silicon Valley","sent condolences via","Twitter",11,460
"Silicon Valley","sent condolences via","Twitter",11,17
"State","was in","Europe",375,1
"Pruitt","told","Democrats",46,467
"Cohen","speaking to","Reuters",70,355
"Cohen","said","Reuters",70,355
"Republicans","do the same thing with","Pruitt",468,46
"Democrats","seem inclined to","Pruitt",467,46
"Trump","will visit","Europe",465,1
"Trump","will visit","Europe",439,1
"Trump","will visit","Europe",14,1
"Perry","can try to","Congress",449,377
"Perry","can try to","Congress",64,377
"Democrats","don’t","Pruitt",467,46
"Democrats","let","Pruitt",467,46
"Perry","convince","Congress",449,377
"Perry","convince","Congress",64,377
"Republicans","controlled","the White House",468,354
"Africa","is double that from","Europe",6,1
"Trump","could dare","Democrats",465,467
"Trump","could dare","Democrats",439,467
"Trump","could dare","Democrats",14,467
"North America","endorsed","Clinton",5,37
"Schumer","warn","Democrats",41,467
"Democrats","run","Congress",467,377
"The White House","proposed cutting the budget of","the Interior Department",386,413
"the East Coast","owned","Petrobras",9,250
"Laurie Goering","editing by","Andrew Roche",13,138
"Trump","is unchecked not","Democrats",465,467
"Trump","is unchecked not","Democrats",439,467
"Trump","is unchecked not","Democrats",14,467
"Harvey","has drawn comparisons with","Hurricane Katrina",417,472
"Harvey","has drawn comparisons with","Hurricane Katrina",315,472
"Smith","wrote","the White House",329,354
"NASA","getting us to","Mars",356,4
"Susanna Twidale","editing by","David Evans",124,105
"Democrats","work with","Trump",467,465
"Democrats","work with","Trump",467,439
"Democrats","work with","Trump",467,14
"Bezos","is","Earth",284,3
"Democrats","can strike the difficult balance of","Trump",467,465
"Democrats","can strike the difficult balance of","Trump",467,439
"Democrats","can strike the difficult balance of","Trump",467,14
"Congress","approved","Hurricane Sandy",377,474
"Earth","is far more important than","Mars",3,4
"Democrats","seemed pleasantly","Trump",467,465
"Democrats","seemed pleasantly","Trump",467,439
"Democrats","seemed pleasantly","Trump",467,14
"the Paris Agreement","according to","Bloomberg",476,62
"the Paris Agreement","according to","Bloomberg",394,62
"Earth","terraforming","Mars",3,4
"Democrats","surprised","Trump",467,465
"Democrats","surprised","Trump",467,439
"Democrats","surprised","Trump",467,14
"Perry","has visited","Europe",449,1
"Perry","has visited","Europe",64,1
"Democrats","use this infrastructure push to","Trump",467,465
"Democrats","use this infrastructure push to","Trump",467,439
"Democrats","use this infrastructure push to","Trump",467,14
"Trump","walked out","Democrats",465,467
"Trump","walked out","Democrats",439,467
"Trump","walked out","Democrats",14,467
"Trump","turned","Democrats",465,467
"Trump","turned","Democrats",439,467
"Trump","turned","Democrats",14,467
"William James","Writing by","Kylie MacLellan",143,144
"Trump","leaving","Democrats",465,467
"Trump","leaving","Democrats",439,467
"Trump","leaving","Democrats",14,467
"Kylie MacLellan","editing by","Guy Faulconbridge",144,140
"Republicans","will control","Congress",468,377
"Silicon Valley","is","Elon Musk",11,183
"The New York Times","did attempt to","Democrats",374,467
"The New York Times","fact","Democrats",374,467
"The White House","said","Trump",386,465
"The White House","said","Trump",386,439
"The White House","said","Trump",386,14
"Trump","accused","Democrats",465,467
"Trump","accused","Democrats",439,467
"Trump","accused","Democrats",14,467
"Ron Bousso","editing by","David Evans",65,105
"Democrats","take back","the White House",467,354
"Nature","took a closer look at","Hurricane Harvey",464,470
"Nature","took a closer look at","Hurricane Harvey",464,416
"Nature","took a closer look at","Hurricane Harvey",464,332
"Republicans","will join with","Democrats",468,467
"Trump","excluded","Democrats",465,467
"Trump","excluded","Democrats",439,467
"Trump","excluded","Democrats",14,467
"Democrats","be good for","Trump",467,465
"Democrats","be good for","Trump",467,439
"Democrats","be good for","Trump",467,14
"Democrats","will not","Trump",467,465
"Democrats","will not","Trump",467,439
"Democrats","will not","Trump",467,14
"Trump","gives this joint address to","Congress",465,377
"Trump","gives this joint address to","Congress",439,377
"Trump","gives this joint address to","Congress",14,377
"Democrats","including","Hillary Clinton",467,153
"Twitter","claiming","Democrats",460,467
"Twitter","claiming","Democrats",17,467
"Trump","exaggerates the differences between","NAFTA",465,367
"Trump","exaggerates the differences between","NAFTA",439,367
"Trump","exaggerates the differences between","NAFTA",14,367
"Vladimir Soldatkin","Writing by","Tom Balmforth",23,27
"Harvey","fall well short of","Katrina",417,475
"Harvey","fall well short of","Katrina",315,475
"Antarctica","is just","Antarctica",8,8
"Congress","are","Republicans",377,468
"Harvey","are likely to","Katrina",417,475
"Harvey","are likely to","Katrina",315,475
"Congress","given","Republicans",377,468
"Harvey","be","Katrina",417,475
"Harvey","be","Katrina",315,475
"Wheeler","warned","Republicans",101,468
"Europe","taking over","North America",1,5
"the State Department","shared with","Reuters",418,355
"Republicans","controlling","Congress",468,377
"Republicans","include","Donald Trump",468,40
"Trump","celebrated his joint statement with","Kim",465,121
"Trump","celebrated his joint statement with","Kim",439,121
"Trump","celebrated his joint statement with","Kim",14,121
"Africa","hit followed by","Europe",6,1
"Democrats","reached out","Republicans",467,468
"Africa","would","Europe",6,1
"Republicans","go on","Fox News",468,379
"Africa","be","Europe",6,1
"Republicans","including","Trump",468,465
"Republicans","including","Trump",468,439
"Republicans","including","Trump",468,14
"Richard Valdmanis","Editing by","David Gregorio",15,115
"Rania El Gamal","editing by","David Clarke",136,149
"Democrats","are beginning to","Trump",467,465
"Democrats","are beginning to","Trump",467,439
"Democrats","are beginning to","Trump",467,14
"Hillary Clinton","created a new department within","the State Department",153,418
"the White House","based","Europe",354,1
"Democrats","speak out","Trump",467,465
"Democrats","speak out","Trump",467,439
"Democrats","speak out","Trump",467,14
"Hurricane Harvey","is drawing comparisons with","Hurricane Katrina",470,472
"Hurricane Harvey","is drawing comparisons with","Hurricane Katrina",416,472
"Hurricane Harvey","is drawing comparisons with","Hurricane Katrina",332,472
"ExxonMobil","supports more than","Congress",419,377
"Republicans","be ready to","Trump",468,465
"Republicans","be ready to","Trump",468,439
"Republicans","be ready to","Trump",468,14
"ExxonMobil","denying members of","Congress",419,377
"Republicans","may not","Trump",468,465
"Republicans","may not","Trump",468,439
"Republicans","may not","Trump",468,14
"Republicans","abandon","Trump",468,465
"Republicans","abandon","Trump",468,439
"Republicans","abandon","Trump",468,14
"Dahlia Nehme","Editing by","Susan Fenton",151,152
"Republicans","will share control of","Congress",468,377
"Shivani Singh","editing by","Richard Pullin",25,39
"Microsoft","told","Motherboard",414,47
"Congress","dominated by","Republicans",377,468
"Boeing","according to","CNN",415,361
"State","is a supporter of","the Paris Agreement",375,476
"State","is a supporter of","the Paris Agreement",375,394
"the White House","get","Republicans",354,468
"Asia","was the right market to","LNG",2,412
"Republicans","use the budget process to","Congress",468,377
"Shell","would","Asia",388,2
"Shell","have","Asia",388,2
"Cameron","was concerned to","Britons",305,154
"Cameron","show","Britons",305,154
"Shell","been","Asia",388,2
"LNG","is increasingly likely to","Europe",412,1
"Trump","pulled out","the Paris Agreement",465,476
"Trump","pulled out","the Paris Agreement",439,476
"Trump","pulled out","the Paris Agreement",14,476
"Trump","pulled out","the Paris Agreement",465,394
"Trump","pulled out","the Paris Agreement",439,394
"Trump","pulled out","the Paris Agreement",14,394
"LNG","flow to","Europe",412,1
"Trump","criticized","GM",465,358
"Trump","criticized","GM",439,358
"Trump","criticized","GM",14,358
"Democrats","win control of","Congress",467,377
"Trump","leave","the Paris Agreement",465,476
"Trump","leave","the Paris Agreement",439,476
"Trump","leave","the Paris Agreement",14,476
"Trump","leave","the Paris Agreement",465,394
"Trump","leave","the Paris Agreement",439,394
"Trump","leave","the Paris Agreement",14,394
"GM","been lobbying","Congress",358,377
"GM","has","Congress",358,377
"NASA","can send humans to","Mars",356,4
"Democrats","have enough support to","Republicans",467,468
"Elizabeth Piper","editing by","Michael Holden",156,63
"Africa","affects parts of","Europe",6,1
"Republicans","telling sign for","Democrats",468,467
"Ed Davies","Editing by","Nick Macfie",34,158
"Trump","blamed","Democrats",465,467
"Trump","blamed","Democrats",439,467
"Trump","blamed","Democrats",14,467
"Reuters","reported","Elliott",355,161
"the National Hurricane Center","announced","Hurricane Florence",446,469
"Democrats","are trying to","Pruitt",467,46
"Trump","didn’t","the Interior Department",465,413
"Trump","didn’t","the Interior Department",439,413
"Trump","didn’t","the Interior Department",14,413
"Democrats","ensure","Pruitt",467,46
"Trump","specify","the Interior Department",465,413
"Trump","specify","the Interior Department",439,413
"Trump","specify","the Interior Department",14,413
"Earth","have effectively","Michael",3,82
"Earth","put","Michael",3,82
